flown_date,payload
2019-10-02,1163.917851243044
2019-10-03,1616.240819188171
2019-10-04,1818.4754101037972
2019-10-05,1805.4429924592189
2019-10-06,1717.1574965980244
2019-10-07,1337.9393960682623
2019-10-08,1104.5933633700931
2019-10-09,831.2248251838396
2019-10-10,944.0839171753528
2019-10-11,1028.3322699643727
2019-10-12,679.8091598186252
2019-10-13,955.0591046153438
2019-10-14,823.3507097368732
2019-10-15,689.9964147389941
2019-10-16,803.8409311236128
2019-10-17,841.8254038157852
2019-10-18,869.4632855881313
2019-10-19,823.6731661152669
2019-10-20,685.2558411104444
2019-10-21,824.0882237489578
2019-10-22,655.2055077039319
2019-10-23,762.1672442826498
2019-10-24,936.4025555283779
2019-10-25,884.6320701337819
2019-10-26,977.3887573568
2019-10-27,814.9896412597726
2019-10-28,665.0654003087743
2019-10-29,675.9638127882534
2019-10-30,1094.203922843711
2019-10-31,1481.6253891158988
2019-11-01,1459.707383902561
2019-11-02,1527.221937664487
2019-11-03,1219.7222749709672
2019-11-04,837.3403744208023
2019-11-05,1035.242479778196
2019-11-06,1192.7945169825673
2019-11-07,1141.247289713926
2019-11-08,1278.1361840175684
2019-11-09,1415.5955422041625
2019-11-10,1320.1317865618646
2019-11-11,1328.552285685102
2019-11-12,1413.4425038992913
2019-11-13,1515.1439747210736
2019-11-14,1419.7517931190064
2019-11-15,1026.550360413546
2019-11-16,1148.7091945268571
2019-11-17,1506.3096053940458
2019-11-18,1411.2724240731281
2019-11-19,1594.5850212127098
2019-11-20,2017.2298850626612
2019-11-21,1605.568648612983
2019-11-22,2579.717546677799
2019-11-23,2337.2247716811517
2019-11-24,2463.025034828885
2019-11-25,2705.0063668594603
2019-11-26,1882.1954482127182
2019-11-27,2225.2043834705464
2019-11-28,2115.4883360124536
2019-11-29,2446.8428953113034
2019-11-30,3114.5016828613175
2019-12-01,2553.331092894948
2019-12-02,2944.2689734938835
2019-12-03,1987.2411469243066
2019-12-04,2642.0378380381335
2019-12-05,1910.1217928035462
2019-12-06,2165.2085608537436
2019-12-07,1946.7919156379867
2019-12-08,1913.3738057958146
2019-12-09,1692.2624298052397
2019-12-10,1350.6108438293484
2019-12-11,1523.5685150421014
2019-12-12,1454.2598881318959
2019-12-13,1649.4094325291585
2019-12-14,1535.585004983546
2019-12-15,1891.8787777684015
2019-12-16,2341.8008759028435
2019-12-17,1739.2165224213782
2019-12-18,2569.8297033679223
2019-12-19,1845.5802285967163
2019-12-20,2026.6607567776953
2019-12-21,2149.928988352276
2019-12-22,2064.960646815121
2019-12-23,2554.739761256684
2019-12-24,2208.3004443188283
2019-12-25,2896.751962290451
2019-12-26,2673.632608205365
2019-12-27,2549.1064769568616
2019-12-28,2476.821498763573
2019-12-29,1722.2185050644875
2019-12-30,1724.634374457839
2019-12-31,1999.3601949475947
