flown_date,payload
2019-10-02,536.8498657055931
2019-10-03,544.7882303486099
2019-10-04,552.7299369953946
2019-10-05,560.6683000148464
2019-10-06,568.6066043172311
2019-10-07,576.5449257656489
2019-10-08,584.4831851935638
2019-10-09,592.4214196168581
2019-10-10,600.3564027373674
2019-10-11,608.2979269739208
2019-10-12,616.2328628953295
2019-10-13,624.1743453296826
2019-10-14,632.1125287398294
2019-10-15,640.0474777304082
2019-10-16,647.9886655619923
2019-10-17,655.9267310606023
2019-10-18,663.8649271259535
2019-10-19,27.28607207735095
2019-10-20,-44.62925784417966
2019-10-21,-90.46911519855894
2019-10-22,20.899657091270047
2019-10-23,20.772838845317754
2019-10-24,20.623254569188266
2019-10-25,-90.04619210273782
2019-10-26,19.3316382584929
2019-10-27,19.20876559677022
2019-10-28,25.086912057521513
2019-10-29,30.954000711402763
2019-10-30,36.83710613241423
2019-10-31,42.691348287326804
2019-11-01,25.991182476598897
2019-11-02,51.297867468195506
2019-11-03,59.96479731060193
2019-11-04,65.80288762341871
2019-11-05,71.66615361606065
2019-11-06,77.50634863627872
2019-11-07,83.34701551052056
2019-11-08,89.18057978772575
2019-11-09,95.02783978914638
2019-11-10,100.83064693133348
2019-11-11,106.67199153419926
2019-11-12,112.51314717253842
2019-11-13,118.3548554496443
2019-11-14,124.19567290810501
2019-11-15,130.05937264551258
2019-11-16,135.877613927749
2019-11-17,141.71849077092432
2019-11-18,147.55952763522464
2019-11-19,153.40080249638285
2019-11-20,159.24194249883226
2019-11-21,165.08305223589682
2019-11-22,170.92403913595572
2019-11-23,176.7650334495342
2019-11-24,182.60546660543687
2019-11-25,188.4469822371201
2019-11-26,194.28804929866018
2019-11-27,200.12912032843386
2019-11-28,200.09023151731503
2019-11-29,200.04884415325557
2019-11-30,200.0051422163466
2019-12-01,200.0049804332536
2019-12-02,200.0053000493507
2019-12-03,200.00494723985614
2019-12-04,199.97012715814904
2019-12-05,199.97044023767572
2019-12-06,199.9707898789713
2019-12-07,199.9709060028137
2019-12-08,199.97092967271644
2019-12-09,199.97104159299462
2019-12-10,199.9708602577609
2019-12-11,200.0005291057409
2019-12-12,200.00032284760695
2019-12-13,200.00011616840152
2019-12-14,193.70785881849815
2019-12-15,187.41250995925992
2019-12-16,181.11452208761514
2019-12-17,174.86286825798427
2019-12-18,168.61072125929766
2019-12-19,162.35929434964694
2019-12-20,156.0704489131833
2019-12-21,149.8184175096723
2019-12-22,143.56649344675597
2019-12-23,137.31459033206926
2019-12-24,131.06196400034744
2019-12-25,124.81018254370264
2019-12-26,118.55788738090426
2019-12-27,112.33748246462282
2019-12-28,106.08473872809607
2019-12-29,99.83115467349714
2019-12-30,109.96546204723694
2019-12-31,110.02023461138356
