flown_date,payload
2019-10-02,3143.9936423742274
2019-10-03,2996.6918439851497
2019-10-04,3272.131683819015
2019-10-05,3362.7022254235912
2019-10-06,3200.6944641754494
2019-10-07,1974.8937691432159
2019-10-08,4188.47512051918
2019-10-09,3585.1578092282343
2019-10-10,2910.073272948758
2019-10-11,4136.612558715467
2019-10-12,3848.3193928583223
2019-10-13,2576.7281264667463
2019-10-14,1159.161287377223
2019-10-15,3000.824890127291
2019-10-16,2980.6904018836995
2019-10-17,2519.641841281042
2019-10-18,2994.0230088575117
2019-10-19,3211.897316395335
2019-10-20,2505.9395779309657
2019-10-21,1677.2043947946972
2019-10-22,3189.9477235561894
2019-10-23,3466.530651467415
2019-10-24,3389.5482470628885
2019-10-25,3487.2578289456414
2019-10-26,3502.512095142615
2019-10-27,1576.593246702575
2019-10-28,550.4821238028751
2019-10-29,3222.132076245004
2019-10-30,3062.6374148199643
2019-10-31,2870.9288219920054
2019-11-01,3455.002309730645
2019-11-02,3338.1168134273644
2019-11-03,1854.1023104728101
2019-11-04,1272.6260171900442
2019-11-05,2774.48998945706
2019-11-06,2422.071342465349
2019-11-07,2975.482316662275
2019-11-08,3482.3234301241823
2019-11-09,3637.4296699506317
2019-11-10,2624.8123258961127
2019-11-11,1939.2896004457189
2019-11-12,3372.285002655686
2019-11-13,2381.0114349579126
2019-11-14,2399.968129970858
2019-11-15,2288.6119727275964
2019-11-16,2462.08891191771
2019-11-17,1467.395884709541
2019-11-18,1347.420040078713
2019-11-19,3127.644566275896
2019-11-20,2755.3768031949085
2019-11-21,2734.697464669418
2019-11-22,3461.6440623621456
2019-11-23,3757.198636087965
2019-11-24,2419.071665059975
2019-11-25,1394.1107837935274
2019-11-26,3148.4626660028116
2019-11-27,3089.3973115887384
2019-11-28,3249.918658246771
2019-11-29,3489.0605926918925
2019-11-30,3347.938008725789
2019-12-01,2212.212971375405
2019-12-02,1381.3247152736847
2019-12-03,3376.885043208245
2019-12-04,2971.792225572256
2019-12-05,3438.136557918344
2019-12-06,3938.986984138072
2019-12-07,3841.671139757836
2019-12-08,3235.483496919778
2019-12-09,2762.744913559556
2019-12-10,3952.156288739689
2019-12-11,2552.815543741802
2019-12-12,2603.949794716156
2019-12-13,3259.6448603936424
2019-12-14,3157.5463177693623
2019-12-15,2817.292809511432
2019-12-16,2989.758337087722
2019-12-17,4085.2859299776055
2019-12-18,3738.1175271737693
2019-12-19,4500.574849015985
2019-12-20,4247.198503198838
2019-12-21,3702.2991397068654
2019-12-22,2494.7544300502354
2019-12-23,1053.216394250677
2019-12-24,1985.2071943694514
2019-12-25,1653.8974419330027
2019-12-26,2402.878721644261
2019-12-27,2183.8942563983246
2019-12-28,1879.2844489848444
2019-12-29,1544.3592173474058
2019-12-30,376.48166350076826
2019-12-31,2160.7976892368506
