flown_date,payload
2019-10-02,1423.9171352978144
2019-10-03,1254.2515617295803
2019-10-04,1533.4507124642241
2019-10-05,1516.9519223069292
2019-10-06,1688.641527515004
2019-10-07,1495.831271621487
2019-10-08,1216.0619775250093
2019-10-09,1361.4232805233871
2019-10-10,1472.7381319691501
2019-10-11,1400.6451485990094
2019-10-12,888.915080639257
2019-10-13,1425.7059558122592
2019-10-14,938.3922592383018
2019-10-15,958.9513525785915
2019-10-16,1645.394784543322
2019-10-17,1523.788307550523
2019-10-18,1091.6858263497138
2019-10-19,1989.3177838980075
2019-10-20,1566.913838086678
2019-10-21,1480.397387958878
2019-10-22,1576.7384778517007
2019-10-23,1448.4457993654244
2019-10-24,1407.0008481886312
2019-10-25,1448.8161309040977
2019-10-26,1771.7235736988216
2019-10-27,1325.5325066550063
2019-10-28,1092.725052194497
2019-10-29,1377.415530700938
2019-10-30,1206.4032646111302
2019-10-31,1319.327022538358
2019-11-01,1605.7968164306103
2019-11-02,1359.1267001510755
2019-11-03,1330.421271732261
2019-11-04,1419.9706466883476
2019-11-05,1675.369280914038
2019-11-06,2047.4529497635276
2019-11-07,2146.3230585019905
2019-11-08,2435.341048604695
2019-11-09,2175.288375679109
2019-11-10,2072.6088336987254
2019-11-11,1730.068355514133
2019-11-12,1659.8846825384076
2019-11-13,1825.4463958476001
2019-11-14,2371.1741178906805
2019-11-15,1718.879145542935
2019-11-16,2259.7367452807484
2019-11-17,1495.5445375082782
2019-11-18,1301.0506442354285
2019-11-19,1511.6800457054062
2019-11-20,1845.4565695651515
2019-11-21,1550.2390756327468
2019-11-22,2058.8938048598197
2019-11-23,1472.4830066842487
2019-11-24,1317.1189998392201
2019-11-25,1218.0214016034174
2019-11-26,1375.9499340351238
2019-11-27,1532.4336970242368
2019-11-28,1428.456791923334
2019-11-29,1164.3341606602853
2019-11-30,1247.2376909177237
2019-12-01,1156.6150339557041
2019-12-02,1157.7394270531495
2019-12-03,1439.1091274434496
2019-12-04,1605.36482830741
2019-12-05,1351.7067580646722
2019-12-06,1416.1925057502592
2019-12-07,1428.1279199660562
2019-12-08,1581.5986502030605
2019-12-09,1690.6321081944086
2019-12-10,2334.8674152666226
2019-12-11,2036.2813746858137
2019-12-12,2060.0730525753697
2019-12-13,2175.020541710803
2019-12-14,1652.2894735597051
2019-12-15,1817.4622237080457
2019-12-16,1619.0471600138903
2019-12-17,1268.8847957053704
2019-12-18,1439.5547491183522
2019-12-19,1727.9840572026503
2019-12-20,1710.7097840493893
2019-12-21,1978.34430553785
2019-12-22,1888.960751446041
2019-12-23,1677.9137033383975
2019-12-24,1732.7108969640185
2019-12-25,1950.6036424003828
2019-12-26,1259.0691685339661
2019-12-27,1234.7804998146694
2019-12-28,1307.359207120549
2019-12-29,916.8726723311219
2019-12-30,1426.5072073989772
2019-12-31,1367.451634271436
