,payload
2019-12-31,54.73570399864933
2020-01-01,53.313377844268146
2020-01-02,49.778640219509576
2020-01-03,59.17068649066532
2020-01-04,53.313880364031014
2020-01-05,53.40553650345378
2020-01-06,51.903054335670824
2020-01-07,59.78000731235032
2020-01-08,57.96488529341777
2020-01-09,54.56501475720669
2020-01-10,63.221417667825385
2020-01-11,57.96479544181922
2020-01-12,57.9797603663724
2020-01-13,56.60728677473316
2020-01-14,62.57649510947847
2020-01-15,61.1798099632463
2020-01-16,58.71989489278787
2020-01-17,64.89768146340438
2020-01-18,61.1769938079934
2020-01-19,61.17291460664232
2020-01-20,60.195981766659536
2020-01-21,64.44569407279546
2020-01-22,63.45194335077551
2020-01-23,61.7009661375045
2020-01-24,66.09537589383916
2020-01-25,63.44935413031263
2020-01-26,63.44624274482383
2020-01-27,62.75134698425058
2020-01-28,65.77402312967565
2020-01-29,65.0672196742265
2020-01-30,63.82181719876536
2020-01-31,66.94733367038353
2020-02-01,65.06536553289429
2020-02-02,65.0631491524579
2020-02-03,64.56890525637648
2020-02-04,66.71877587905861
2020-02-05,66.21606420506515
2020-02-06,65.33027500097985
2020-02-07,67.55328916053718
2020-02-08,66.2147451769029
2020-02-09,66.21316873242627
2020-02-10,65.8616392299349
2020-02-11,67.39072820354359
2020-02-12,67.0331760575868
2020-02-13,66.40316116813001
2020-02-14,67.98427323700686
2020-02-15,67.03223789714487
2020-02-16,67.03111665511592
2020-02-17,66.78109236352883
2020-02-18,67.86865225179835
2020-02-19,67.61434437418733
2020-02-20,67.16624819757082
2020-02-21,68.29080935394401
2020-02-22,67.61367711031083
2020-02-23,67.61287963031586
2020-02-24,67.43505061235507
2020-02-25,68.20857427944571
2020-02-26,68.02769857395455
2020-02-27,67.70899152941887
2020-02-28,68.50883223605129
