,payload
2019-12-31,20.047457940982827
2020-01-01,20.04463470287731
2020-01-02,20.02560882026152
2020-01-03,20.025201477228542
2020-01-04,19.992748275325496
2020-01-05,19.972659716764337
2020-01-06,20.015564578152386
2020-01-07,20.077212168789426
2020-01-08,20.09226866754818
2020-01-09,20.065524959058514
2020-01-10,20.05043666890394
2020-01-11,20.012761320186556
2020-01-12,19.997018407878624
2020-01-13,20.03568530547674
2020-01-14,20.059414249549352
2020-01-15,20.076844072090893
2020-01-16,20.06898467283035
2020-01-17,20.053013935879896
2020-01-18,20.044405775815143
2020-01-19,20.0469798900539
2020-01-20,20.048325617203027
2020-01-21,20.053329338842758
2020-01-22,20.053576131977824
2020-01-23,20.052728769766016
2020-01-24,20.050873950642824
2020-01-25,20.04941820406594
2020-01-26,20.048886836008386
2020-01-27,20.050509098852917
2020-01-28,20.0515333245487
2020-01-29,20.052183837777374
2020-01-30,20.05179193774666
2020-01-31,20.05113696862299
2020-02-01,20.05075145387316
2020-02-02,20.05084333963691
2020-02-03,20.050980091229228
2020-02-04,20.051214681430583
2020-02-05,20.051246609143
2020-02-06,20.05119043141747
2020-02-07,20.05108708877049
2020-02-08,20.051018471021926
2020-02-09,20.05100776496258
2020-02-10,20.05107534942788
2020-02-11,20.051123570859655
2020-02-12,20.051146809914083
2020-02-13,20.05112825181572
2020-02-14,20.051099144638563
2020-02-15,20.051082385028156
2020-02-16,20.051086001674012
2020-02-17,20.051094848948125
2020-02-18,20.051105650764413
2020-02-19,20.05110759585403
2020-02-20,20.051104295047992
2020-02-21,20.05109901114744
2020-02-22,20.051095829819047
2020-02-23,20.051095822453934
2020-02-24,20.05109879582757
2020-02-25,20.051101055347083
2020-02-26,20.05110189965826
2020-02-27,20.05110099320404
2020-02-28,20.051099663870357
