flown_date,payload
2019-10-02,6129.132106612426
2019-10-03,7073.077749836822
2019-10-04,6700.982652080784
2019-10-05,6025.3719632353595
2019-10-06,6571.072188241845
2019-10-07,3791.119292444126
2019-10-08,6525.550170808678
2019-10-09,9117.78894151439
2019-10-10,8854.156423650258
2019-10-11,7470.084144225616
2019-10-12,7761.069780393696
2019-10-13,7784.837846638753
2019-10-14,4977.952249455463
2019-10-15,8119.92395935865
2019-10-16,8885.799164752585
2019-10-17,8592.495980815558
2019-10-18,7490.59131117787
2019-10-19,8033.8317856055255
2019-10-20,7398.335148333475
2019-10-21,4363.149634592999
2019-10-22,7447.221648691887
2019-10-23,7654.101744937031
2019-10-24,7939.671858794353
2019-10-25,6613.123187818308
2019-10-26,7324.574473346994
2019-10-27,6430.754016276803
2019-10-28,2776.2332873360265
2019-10-29,7064.444066261096
2019-10-30,6920.1361708170225
2019-10-31,6737.405186467202
2019-11-01,7615.0935429109195
2019-11-02,7962.0768883658
2019-11-03,7687.675645047268
2019-11-04,5055.927299283763
2019-11-05,7848.388836186883
2019-11-06,8079.950377594245
2019-11-07,9927.102294887216
2019-11-08,9288.242999455379
2019-11-09,9857.811427888317
2019-11-10,8175.546699956991
2019-11-11,5625.711684957178
2019-11-12,7395.170275980679
2019-11-13,8451.191826802577
2019-11-14,8852.04881742352
2019-11-15,9172.071149116637
2019-11-16,9125.141385331051
2019-11-17,9395.113349973179
2019-11-18,5500.091854747691
2019-11-19,8091.989620554472
2019-11-20,9938.640823148698
2019-11-21,10101.820912962894
2019-11-22,8593.298440311204
2019-11-23,9109.100354930104
2019-11-24,8032.087258363928
2019-11-25,4420.47517269789
2019-11-26,7693.97010029917
2019-11-27,8250.881321157582
2019-11-28,8884.119779764527
2019-11-29,8493.345841564376
2019-11-30,7695.278604169871
2019-12-01,7969.8667965993445
2019-12-02,2946.6662847966063
2019-12-03,7554.951057806953
2019-12-04,9066.227580538463
2019-12-05,9110.804850877741
2019-12-06,8362.220282913862
2019-12-07,8883.147635821497
2019-12-08,8328.409273366604
2019-12-09,4958.957265651252
2019-12-10,8477.77551033549
2019-12-11,8607.386814239799
2019-12-12,9259.26162445103
2019-12-13,8808.642923986654
2019-12-14,9100.654425282393
2019-12-15,8069.783895691539
2019-12-16,5352.074816802076
2019-12-17,8341.97380091624
2019-12-18,9289.401004858271
2019-12-19,9695.347932840368
2019-12-20,7268.438658370326
2019-12-21,9760.839072666224
2019-12-22,8687.73351232343
2019-12-23,4220.133406208732
2019-12-24,7902.848131163576
2019-12-25,8729.177189342197
2019-12-26,7776.466557835621
2019-12-27,7600.733935801357
2019-12-28,8148.157036999018
2019-12-29,7601.159553295391
2019-12-30,4064.513692774432
2019-12-31,8187.562084374925
